month,sample_period,sp500_log_return,term_spread,regime_raw,regime_label
2019-01,out_of_sample,0.01549106286614113,0.29,1,Recovery
2019-02,out_of_sample,0.05501690361573267,0.24,1,Recovery
2019-03,out_of_sample,0.01767321186253742,0.12,1,Recovery
2019-04,out_of_sample,0.03498038758816188,0.1,1,Recovery
2019-05,out_of_sample,-0.0170499623008232,0,1,Recovery
2019-06,out_of_sample,0.01234506215708953,-0.15,1,Recovery
2019-07,out_of_sample,0.03600067037231582,-0.08,1,Recovery
2019-08,out_of_sample,-0.03346832556465557,-0.36,1,Recovery
2019-09,out_of_sample,0.02879886012614616,-0.23,1,Recovery
2019-10,out_of_sample,-0.001502055036934302,0.03,1,Recovery
2019-11,out_of_sample,0.04183848424805165,0.24,1,Recovery
2019-12,out_of_sample,0.02287555363522414,0.29,1,Recovery
2020-01,out_of_sample,0.0314368511273123,0.21,1,Recovery
2020-02,out_of_sample,-0.0002711141204610977,-0.04,1,Recovery
2020-03,out_of_sample,-0.2115617574003709,0.57,1,Recovery
2020-04,out_of_sample,0.04048359842847173,0.52,1,Recovery
2020-05,out_of_sample,0.05550566853342035,0.54,1,Recovery
2020-06,out_of_sample,0.06145274312732351,0.57,1,Recovery
2020-07,out_of_sample,0.03262444430709309,0.49,1,Recovery
2020-08,out_of_sample,0.05580527328505448,0.55,1,Recovery
2020-09,out_of_sample,-0.007752726324176956,0.57,1,Recovery
2020-10,out_of_sample,0.01567926806077748,0.6899999999999999,1,Recovery
2020-11,out_of_sample,0.03740299966247441,0.78,1,Recovery
2020-12,out_of_sample,0.04040068764853454,0.84,1,Recovery
2021-01,out_of_sample,0.02629011158926752,1,1,Recovery
2021-02,out_of_sample,0.02336476622326954,1.22,2,Bull
2021-03,out_of_sample,0.006948029689668992,1.58,2,Bull
2021-04,out_of_sample,0.05731249592556224,1.61,2,Bull
2021-05,out_of_sample,0.006420343886757315,1.6,2,Bull
2021-06,out_of_sample,0.01680677114214935,1.48,2,Bull
2021-07,out_of_sample,0.02911630122178848,1.27,2,Bull
2021-08,out_of_sample,0.02052563224803492,1.23,2,Bull
2021-09,out_of_sample,-0.001946803749342591,1.33,2,Bull
2021-10,out_of_sample,0.003405209457548076,1.53,2,Bull
2021-11,out_of_sample,0.04529200908659686,1.51,2,Bull
2021-12,out_of_sample,0.001581232311192515,1.4,2,Bull
2022-01,out_of_sample,-0.02183278897038144,1.61,2,Bull
2022-02,out_of_sample,-0.03059907854273927,1.62,2,Bull
2022-03,out_of_sample,-0.01013128957737102,1.68,2,Bull
2022-04,out_of_sample,7.009938884917151e-06,1.99,2,Bull
2022-05,out_of_sample,-0.08329060300621717,1.91,2,Bull
2022-06,out_of_sample,-0.03562736572812014,1.6,2,Bull
2022-07,out_of_sample,0.003273172379225498,0.6,1,Recovery
2022-08,out_of_sample,0.06118998879527346,0.18,1,Recovery
2022-09,out_of_sample,-0.07696126457692801,0.3,1,Recovery
2022-10,out_of_sample,-0.03285938087710223,0.11,1,Recovery
2022-11,out_of_sample,0.05010183102502228,-0.43,1,Recovery
2022-12,out_of_sample,-0.001304650034477477,-0.74,1,Recovery
2023-01,out_of_sample,0.01226366645733764,-1.16,1,Recovery
2023-02,out_of_sample,0.02960992069450605,-1.04,1,Recovery
2023-03,out_of_sample,-0.0276166256651649,-1.2,1,Recovery
2023-04,out_of_sample,0.03780616795264141,-1.61,1,Recovery
2023-05,out_of_sample,0.005976526624640511,-1.74,1,Recovery
2023-06,out_of_sample,0.04692578399605275,-1.67,1,Recovery
2023-07,out_of_sample,0.03675877608393973,-1.59,1,Recovery
2023-08,out_of_sample,-0.01131397414659954,-1.39,1,Recovery
