month,sample_period,sp500_log_return,credit_spread,regime_raw,regime_label
1990-02,in_sample,-0.02840201650666517,0.94,2,Recovery
1990-03,in_sample,0.02395055506347788,0.84,2,Recovery
1990-04,in_sample,-0.0008276188696565126,0.91,2,Recovery
1990-05,in_sample,0.03506888710683337,0.94,2,Recovery
1990-06,in_sample,0.02853959318427709,0.98,2,Recovery
1990-07,in_sample,-0.0009994170899337458,0.92,2,Recovery
1990-08,in_sample,-0.08482455831639456,0.97,1,Bear
1990-09,in_sample,-0.04748942319829406,1.16,1,Bear
1990-10,in_sample,-0.02663482910422876,1.29,1,Bear
1990-11,in_sample,0.02625429952931824,1.36,1,Bear
1990-12,in_sample,0.04180473327011384,1.38,1,Bear
1991-01,in_sample,-0.00996584428148542,1.34,1,Bear
1991-02,in_sample,0.1070304468542816,1.25,1,Bear
1991-03,in_sample,0.02728407325273911,1.11,1,Bear
1991-04,in_sample,0.01968253336994373,1.02,2,Recovery
1991-05,in_sample,-0.004461052444261111,0.95,2,Recovery
1991-06,in_sample,0.0007933569993531239,0.88,2,Recovery
1991-07,in_sample,0.005115235537913587,0.87,2,Recovery
1991-08,in_sample,0.02383076015764036,0.88,2,Recovery
1991-09,in_sample,-0.005665737535677308,0.88,2,Recovery
1991-10,in_sample,-0.0008267879759940738,0.92,2,Recovery
1991-11,in_sample,-0.002484473327661833,1,2,Recovery
1991-12,in_sample,0.006688815403407365,0.94,2,Recovery
1992-01,in_sample,0.06855863996264357,0.94,2,Recovery
1992-02,in_sample,-0.008495899722113521,0.9,2,Recovery
1992-03,in_sample,-0.01268433437366176,0.87,2,Recovery
1992-04,in_sample,0.000122734023252678,0.85,2,Recovery
1992-05,in_sample,0.0180005346763419,0.87,2,Recovery
1992-06,in_sample,-0.01589186382830046,0.82,2,Recovery
1992-07,in_sample,0.0164702746607087,0.69,0,Bull
1992-08,in_sample,0.006914959485198716,0.72,0,Bull
1992-09,in_sample,0.001315144676112386,0.72,0,Bull
1992-10,in_sample,-0.01439289328761995,0.9,2,Recovery
1992-11,in_sample,0.02475765112572652,0.87,2,Recovery
1992-12,in_sample,0.02982235730702351,0.85,2,Recovery
1993-01,in_sample,-0.0009415872180501442,0.7,0,Bull
1993-02,in_sample,0.01475629161304519,0.62,0,Bull
1993-03,in_sample,0.01897215652254279,0.58,0,Bull
1993-04,in_sample,-0.01585273447629152,0.76,0,Bull
1993-05,in_sample,0.004885581521038919,0.8,0,Bull
